科类方向代码,科类方向名称,院校代码,院校名称,专业代码,专业名称,计划数,综合分,位次号
B,美术与设计类,4602,海南大学,60,视觉传达设计,6,591,B-01148
B,美术与设计类,27,浙江传媒学院,11,动画（漫插画）,7,590,B-01214
B,美术与设计类,1161,中国戏曲学院,20,戏剧影视美术设计（戏曲舞台设计）,2,590,B-01173
Ca,音乐类音乐表演器乐方向,3281,苏州大学,39,音乐表演,5,590,Ca00070
G,播音与主持类,3301,江苏师范大学,3,播音与主持艺术,6,590,G-00126
B,美术与设计类,1139,北京印刷学院,6,新媒体艺术,1,589,B-01272
B,美术与设计类,1161,中国戏曲学院,22,戏剧影视美术设计（戏曲数字演艺设计）,1,589,B-01266
B,美术与设计类,3101,东华大学,3,环境设计(中外合作办学)（中英合作）,13,589,B-01221
B,美术与设计类,3243,南京工业大学,25,视觉传达设计,2,589,B-01265
B,美术与设计类,3272,南京艺术学院,1,绘画,2,589,B-01263
B,美术与设计类,3315,中国矿业大学,25,环境设计,5,589,B-01242
B,美术与设计类,3404,安徽大学,19,绘画,3,589,B-01233
B,美术与设计类,3646,南昌大学,2,绘画,5,589,B-01222
Cd,音乐类音乐教育声乐主项,3145,上海师范大学,1,音乐学(师范),2,589,Cd00049
G,播音与主持类,1164,中华女子学院,3,播音与主持艺术,4,589,G-00132
B,美术与设计类,3445,合肥工业大学,20,环境设计,8,588,B-01280
B,美术与设计类,3646,南昌大学,3,环境设计,8,588,B-01330
B,美术与设计类,5005,西南大学,43,服装与服饰设计,4,588,B-01322
Ea,表(导)演类戏剧影视表演方向,3256,南京农业大学,41,表演,6,588,Ea00054
G,播音与主持类,5131,四川师范大学,19,播音与主持艺术,3,588,G-00135
B,美术与设计类,20,杭州师范大学,54,美术学(师范),38,587,B-01365
B,美术与设计类,2163,鲁迅美术学院,20,艺术与科技,1,587,B-01333
B,美术与设计类,3101,东华大学,6,服装与服饰设计(中外合作办学)（中日合作）,17,587,B-01376
B,美术与设计类,3243,南京工业大学,27,产品设计,2,587,B-01347
B,美术与设计类,4021,湖北美术学院,12,艺术与科技,1,587,B-01339
Ea,表(导)演类戏剧影视表演方向,3646,南昌大学,1,表演,2,587,Ea00059
G,播音与主持类,4001,长江大学,29,播音与主持艺术,2,587,G-00146
B,美术与设计类,4,浙江师范大学,29,美术学(师范),70,586,B-01463
B,美术与设计类,3243,南京工业大学,24,艺术与科技,2,586,B-01453
B,美术与设计类,6132,西安美术学院,10,视觉传达设计,4,586,B-01451
Cd,音乐类音乐教育声乐主项,4342,湖南师范大学,21,音乐学(师范),1,586,Cd00062
Ea,表(导)演类戏剧影视表演方向,5103,成都理工大学,13,表演,8,586,Ea00068
B,美术与设计类,1161,中国戏曲学院,25,视觉传达设计,2,585,B-01510
B,美术与设计类,1216,天津工业大学,31,视觉传达设计,4,585,B-01522
B,美术与设计类,3220,江苏大学,55,视觉传达设计,3,585,B-01541
B,美术与设计类,3272,南京艺术学院,31,摄影,1,585,B-01498
Cb,音乐类音乐表演声乐方向,5011,重庆大学,13,音乐表演（声乐方向）,2,585,Cb00073
G,播音与主持类,3767,山东艺术学院,5,播音与主持艺术,1,585,G-00160
B,美术与设计类,3113,上海第二工业大学,15,数字媒体艺术,1,584,B-01599
B,美术与设计类,5314,云南大学,4,美术学,4,584,B-01555
Cb,音乐类音乐表演声乐方向,4424,华南理工大学,10,音乐表演（民族唱法、美声唱法）,2,584,Cb00078
B,美术与设计类,4,浙江师范大学,32,数字媒体艺术,27,583,B-01665
B,美术与设计类,1110,北京服装学院,5,产品设计,6,583,B-01671
B,美术与设计类,1167,中央民族大学,18,视觉传达设计(中外合作办学),6,583,B-01685
B,美术与设计类,3404,安徽大学,17,环境设计,7,583,B-01670
B,美术与设计类,3511,福建师范大学,10,美术学(师范),4,583,B-01657
B,美术与设计类,6132,西安美术学院,6,文物保护与修复,2,583,B-01661
B,美术与设计类,1110,北京服装学院,8,动画,1,582,B-01715
B,美术与设计类,1161,中国戏曲学院,23,服装与服饰设计（戏曲服装设计）,1,582,B-01707
B,美术与设计类,1202,河北工业大学,11,设计学类,8,582,B-01704
Ec,表(导)演类戏剧影视导演方向,5105,四川传媒学院,5,戏剧影视导演,1,582,Ec00123
M,书法类,3112,上海大学,35,书法学,2,582,M-00010
B,美术与设计类,8,浙江理工大学,30,设计学类,150,581,B-01822
B,美术与设计类,20,杭州师范大学,57,视觉传达设计,38,581,B-01824
B,美术与设计类,3272,南京艺术学院,8,服装与服饰设计,1,581,B-01823
B,美术与设计类,3778,北京交通大学(威海校区),6,数字媒体艺术(中外合作办学),6,581,B-01820
B,美术与设计类,4021,湖北美术学院,7,数字媒体艺术,2,581,B-01758
B,美术与设计类,5005,西南大学,42,雕塑,2,581,B-01787
Cc,音乐类音乐教育器乐主项,3216,江南大学,45,音乐学(师范),2,581,Cc00084
Ea,表(导)演类戏剧影视表演方向,4445,广东海洋大学,18,表演,2,581,Ea00087
Ea,表(导)演类戏剧影视表演方向,5131,四川师范大学,50,表演（影视表演）,4,581,Ea00088
G,播音与主持类,5165,四川电影电视学院,1,播音与主持艺术,1,581,G-00173
B,美术与设计类,8,浙江理工大学,31,艺术与科技,25,580,B-01900
B,美术与设计类,8,浙江理工大学,32,美术学（商业插画）,45,580,B-01833
B,美术与设计类,3120,上海工程技术大学,11,设计学类,2,580,B-01840
B,美术与设计类,3272,南京艺术学院,6,环境设计,2,580,B-01830
B,美术与设计类,5314,云南大学,5,绘画,2,580,B-01850
B,美术与设计类,6204,兰州大学,19,视觉传达设计(中外合作办学),8,580,B-01917
Cb,音乐类音乐表演声乐方向,2124,东北大学,22,音乐表演（美声）,2,580,Cb00093
G,播音与主持类,4079,武汉体育学院,8,播音与主持艺术,2,580,G-00187
B,美术与设计类,3220,江苏大学,52,产品设计,3,579,B-01953
B,美术与设计类,6132,西安美术学院,20,美术教育,2,579,B-01939
Ca,音乐类音乐表演器乐方向,3731,山东大学,36,音乐学（竹笛）,1,579,Ca00112
Ca,音乐类音乐表演器乐方向,5005,西南大学,47,音乐表演（钢琴方向）,2,579,Ca00110
Ec,表(导)演类戏剧影视导演方向,5333,云南艺术学院,16,戏剧影视导演,1,579,Ec00146
B,美术与设计类,1216,天津工业大学,34,动画,7,578,B-02048
B,美术与设计类,4602,海南大学,59,绘画,5,578,B-02003
Cb,音乐类音乐表演声乐方向,5005,西南大学,46,音乐表演（声乐方向）,1,578,Cb00104
Cd,音乐类音乐教育声乐主项,6108,陕西师范大学,16,音乐学（理论）(师范),1,578,Cd00093
Ec,表(导)演类戏剧影视导演方向,27,浙江传媒学院,15,戏剧影视导演,7,578,Ec00153
B,美术与设计类,4,浙江师范大学,31,设计学类,56,577,B-02086
B,美术与设计类,3220,江苏大学,54,美术学(师范),2,577,B-02129
B,美术与设计类,3288,苏州科技大学,20,美术学(师范),2,577,B-02083
B,美术与设计类,6132,西安美术学院,11,产品设计,4,577,B-02091
B,美术与设计类,6132,西安美术学院,15,戏剧影视美术设计,4,577,B-02112
Cd,音乐类音乐教育声乐主项,3216,江南大学,53,音乐学(师范),2,577,Cd00096
Ea,表(导)演类戏剧影视表演方向,1170,北京联合大学,1,表演,5,577,Ea00115
Ea,表(导)演类戏剧影视表演方向,1421,山西师范大学,13,表演,1,577,Ea00117
G,播音与主持类,6105,陕西科技大学,19,播音与主持艺术,6,577,G-00198
B,美术与设计类,4,浙江师范大学,33,艺术与科技,14,576,B-02209
B,美术与设计类,20,杭州师范大学,61,数字媒体艺术,103,576,B-02188
B,美术与设计类,3748,山东师范大学,9,美术学(师范),1,576,B-02247
Ca,音乐类音乐表演器乐方向,3763,中国海洋大学,40,音乐表演（钢琴）,1,576,Ca00128
D,舞蹈类,3216,江南大学,52,舞蹈编导,2,576,D-00008
Ea,表(导)演类戏剧影视表演方向,5137,四川音乐学院,12,表演,3,576,Ea00120
G,播音与主持类,5137,四川音乐学院,13,播音与主持艺术,5,576,G-00203
B,美术与设计类,4,浙江师范大学,18,动画,25,575,B-02323
B,美术与设计类,6,杭州电子科技大学,23,设计学类,104,575,B-02278
B,美术与设计类,1111,北京工商大学,9,设计学类,5,575,B-02289
B,美术与设计类,1216,天津工业大学,32,环境设计,3,575,B-02312
B,美术与设计类,3524,集美大学,15,视觉传达设计,4,575,B-02291
B,美术与设计类,3627,江西师范大学,11,美术学(师范),3,575,B-02331
Cb,音乐类音乐表演声乐方向,4093,中国地质大学(武汉),35,音乐学（声乐）,1,575,Cb00120
Ea,表(导)演类戏剧影视表演方向,3767,山东艺术学院,19,音乐剧,1,575,Ea00126
Ec,表(导)演类戏剧影视导演方向,3314,南京传媒学院,6,戏剧影视导演,5,575,Ec00176
B,美术与设计类,1139,北京印刷学院,5,艺术与科技,2,574,B-02358
B,美术与设计类,4021,湖北美术学院,14,纤维艺术,2,574,B-02338
B,美术与设计类,6132,西安美术学院,12,艺术与科技,4,574,B-02421
B,美术与设计类,6132,西安美术学院,17,动画,4,574,B-02371
Cb,音乐类音乐表演声乐方向,6204,兰州大学,18,音乐表演（声乐）,1,574,Cb00128
Cd,音乐类音乐教育声乐主项,3272,南京艺术学院,37,音乐学（音乐传播）,1,574,Cd00122
Cd,音乐类音乐教育声乐主项,5005,西南大学,45,音乐学,2,574,Cd00120
Ec,表(导)演类戏剧影视导演方向,1420,山西传媒学院,3,戏剧影视导演,2,574,Ec00188
G,播音与主持类,5103,成都理工大学,6,播音与主持艺术,2,574,G-00227
B,美术与设计类,7,浙江工商大学,35,数字媒体艺术,69,573,B-02525
B,美术与设计类,1167,中央民族大学,19,服装与服饰设计(中外合作办学),6,573,B-02509
B,美术与设计类,3113,上海第二工业大学,13,产品设计,3,573,B-02438
B,美术与设计类,3220,江苏大学,53,环境设计,5,573,B-02487
B,美术与设计类,3301,江苏师范大学,16,美术学(师范),3,573,B-02528
B,美术与设计类,4095,中南财经政法大学,35,动画(中外合作办学),11,573,B-02432
Ea,表(导)演类戏剧影视表演方向,3314,南京传媒学院,4,表演,5,573,Ea00148
B,美术与设计类,7,浙江工商大学,32,视觉传达设计,52,572,B-02577
B,美术与设计类,20,杭州师范大学,58,环境设计,25,572,B-02628
B,美术与设计类,20,杭州师范大学,60,动画,49,572,B-02541
B,美术与设计类,2163,鲁迅美术学院,22,艺术设计学,1,572,B-02548
B,美术与设计类,3238,南京财经大学,28,视觉传达设计,3,572,B-02636
B,美术与设计类,3425,安徽师范大学,22,美术学(师范),3,572,B-02626
B,美术与设计类,4433,汕头大学,22,数字媒体艺术,3,572,B-02630
Ea,表(导)演类戏剧影视表演方向,2243,吉林艺术学院,11,表演,2,572,Ea00154
G,播音与主持类,6119,西安工程大学,2,播音与主持艺术,5,572,G-00238
B,美术与设计类,27,浙江传媒学院,10,动画,32,571,B-02673
B,美术与设计类,2163,鲁迅美术学院,16,文物保护与修复,1,571,B-02666
B,美术与设计类,3272,南京艺术学院,3,雕塑,1,571,B-02708
B,美术与设计类,4011,湖北大学,13,美术学(师范),3,571,B-02705
B,美术与设计类,4021,湖北美术学院,20,跨媒体艺术,2,571,B-02653
Ea,表(导)演类戏剧影视表演方向,3103,上海视觉艺术学院,14,表演（影视与话剧表演）,6,571,Ea00160
Ea,表(导)演类戏剧影视表演方向,5333,云南艺术学院,12,表演（舞台影视表演）,2,571,Ea00163
B,美术与设计类,7,浙江工商大学,34,产品设计,45,570,B-02759
B,美术与设计类,20,杭州师范大学,55,绘画,48,570,B-02740
B,美术与设计类,2163,鲁迅美术学院,18,实验艺术,1,570,B-02772
B,美术与设计类,3511,福建师范大学,7,设计学类,5,570,B-02787
B,美术与设计类,3524,集美大学,16,环境设计,3,570,B-02804
B,美术与设计类,4021,湖北美术学院,10,视觉传达设计,6,570,B-02751
B,美术与设计类,4021,湖北美术学院,15,产品设计,4,570,B-02743
B,美术与设计类,6132,西安美术学院,8,公共艺术,3,570,B-02838
Ea,表(导)演类戏剧影视表演方向,2160,沈阳音乐学院,33,表演（影视表演）,3,570,Ea00169
Ec,表(导)演类戏剧影视导演方向,4112,武汉传媒学院,8,戏剧影视导演,3,570,Ec00222
Ec,表(导)演类戏剧影视导演方向,5165,四川电影电视学院,2,戏剧影视导演,1,570,Ec00216
B,美术与设计类,20,杭州师范大学,59,公共艺术,40,569,B-02932
B,美术与设计类,24,温州大学,24,美术学(师范),32,569,B-02895
B,美术与设计类,1216,天津工业大学,33,服装与服饰设计,3,569,B-02850
B,美术与设计类,2163,鲁迅美术学院,19,戏剧影视美术设计,2,569,B-02910
B,美术与设计类,3113,上海第二工业大学,14,环境设计,2,569,B-02852
B,美术与设计类,3238,南京财经大学,27,动画,4,569,B-02934
B,美术与设计类,3276,南通大学,19,美术学(师范),2,569,B-02891
B,美术与设计类,3288,苏州科技大学,23,环境设计,2,569,B-02938
B,美术与设计类,3288,苏州科技大学,24,数字媒体艺术,4,569,B-02864
B,美术与设计类,3301,江苏师范大学,17,设计学类,2,569,B-02946
B,美术与设计类,3642,景德镇陶瓷大学,17,动画,3,569,B-02897
B,美术与设计类,4305,长沙理工大学,2,数字媒体艺术,2,569,B-02919
B,美术与设计类,4342,湖南师范大学,44,艺术设计学(中外合作办学),4,569,B-02953
B,美术与设计类,4433,汕头大学,18,视觉传达设计,4,569,B-02907
B,美术与设计类,5131,四川师范大学,20,数字媒体艺术,3,569,B-02941
D,舞蹈类,3259,南京师范大学,27,舞蹈学(师范),4,569,D-00012
G,播音与主持类,3603,赣南师范大学,35,播音与主持艺术,2,569,G-00251
M,书法类,5002,四川美术学院,18,书法学,2,569,M-00022
B,美术与设计类,7,浙江工商大学,33,环境设计,36,568,B-03007
B,美术与设计类,3425,安徽师范大学,23,绘画,1,568,B-03021
B,美术与设计类,3425,安徽师范大学,24,雕塑,1,568,B-02968
B,美术与设计类,3642,景德镇陶瓷大学,10,绘画,1,568,B-02999
B,美术与设计类,4433,汕头大学,20,产品设计,2,568,B-02989
B,美术与设计类,6132,西安美术学院,9,工艺美术,3,568,B-02996
B,美术与设计类,6144,西北大学,18,美术学(中外合作办学),5,568,B-03008
